text, lemma_, pos_, tag_, dep_, is_alpha, is_stop, isOov, count, samples
cdn,cdn,X,FW,compound,True,False,False,33,[u'cdn profile create', u'cdn endpoint list']
probe,probe,NOUN,NN,ROOT,True,False,False,12,[u'network application-gateway probe', u'network lb probe update']
terminate,terminate,VERB,VBP,ROOT,True,False,False,1,[u'batchai job terminate']
unmanaged,unmanaged,ADJ,JJ,amod,True,False,False,4,[u'vm unmanaged-disk attach', u'vm unmanaged-disk list']
dbs,dbs,NOUN,NN,ROOT,True,False,False,1,[u'sql elastic-pool list-dbs']
availability,availability,NOUN,NN,nsubj,True,False,False,8,[u'vm availability-set', u'vm availability-set list']
redirect,redirect,VERB,VB,ROOT,True,False,False,6,[u'network application-gateway redirect-config list', u'network application-gateway redirect-config']
upgrade,upgrade,NOUN,NN,compound,True,False,False,10,[u'vmss rolling-upgrade cancel', u'aks upgrade-connector']
georestore,georestore,ADJ,JJ,ROOT,True,False,True,2,[u'postgres server georestore', u'mysql server georestore']
only,only,ADV,RB,advmod,True,False,False,1,[u'cosmosdb list-read-only-keys']
version,version,NOUN,NNS,dobj,True,False,False,6,[u'keyvault key list-versions', u'keyvault secret list-versions']
local,local,ADJ,JJ,amod,True,False,False,9,[u'network local-gateway wait', u'network local-gateway update']
count,count,NOUN,NNS,compound,True,False,False,4,[u'batch pool node-counts list', u'batch job task-counts']
invoke,invoke,VERB,VB,ROOT,True,False,False,2,[u'resource invoke-action', u'vm run-command invoke']
permission,permission,NOUN,NN,ROOT,True,False,False,3,[u'storage container show-permission', u'dls fs access set-permission']
express,express,VERB,VBP,ROOT,True,False,False,22,[u'network express-route peering', u'network express-route wait']
db,db,NOUN,NN,compound,True,False,False,43,[u'sql db op list', u'mysql db show']
listener,listener,NOUN,NN,compound,True,False,False,6,[u'network application-gateway http-listener list', u'network application-gateway http-listener']
ssl,ssl,NOUN,NN,amod,True,False,False,25,[u'network application-gateway ssl-policy predefined show', u'network application-gateway ssl-cert delete']
ssh,ssh,NOUN,NN,dobj,True,False,False,1,[u'vm user reset-ssh']
dw,dw,PROPN,NNP,ROOT,True,False,False,8,[u'sql dw', u'sql dw update']
dp,dp,VERB,MD,ROOT,True,False,False,2,[u'iot dps delete', u'iot dps create']
resource,resource,NOUN,NN,nsubj,True,False,False,21,[u'resource invoke-action', u'resource lock delete']
remove,remove,NOUN,NN,ROOT,True,False,False,33,[u'vm secret remove', u'monitor activity-log alert action-group remove']
patch,patch,VERB,VB,compound,True,False,False,8,[u'redis patch-schedule patch-schedule show', u'redis patch-schedule patch-schedule show']
activity,activity,NOUN,NN,compound,True,False,False,16,[u'monitor activity-log alert action-group remove', u'monitor activity-log list-categories']
release,release,NOUN,NN,ROOT,True,False,False,4,[u'storage container lease release', u'storage blob lease release']
